megaraid_sas,00.00.05.41,version,
mptsas,4.22.00.00,version,
lpfc,0:8.3.5.39.1p,version,
bnx2x,1.62.17,version,
megaraid,2.00.4,version,
enic,1.4.1.2-1,version,
bnx2i,2.6.2.4c,version,
qla4xxx,5.02.12.01.05.06-c0,version,
be2net,2.104.277.1,version,
bfa,2.3.2.7,version,
hpsa,2.0.2-9,version,
cxgb4,1.0.0.1-xen,version,
cxgb3,1.5.1.1.2-xen,version,
igb,2.4.13,version,
qlcnic,5.0.15.2,version,
mlx4_en,1.5.6.2 (Feb 2011),version,
tg3,3.116j,version,
e100,3.5.24-k2-NAPI,version,
qla2xxx,8.03.07.03.55.6-k2,version,
fnic,1.4.0.145,version,
cnic,2.2.14b,version,
cxgb3i,2.0.0,version,
bnx2,2.0.24b,version,
ixgbe,3.2.9-NAPI,version,
vxge,2.5.2.22572-r-p3.5.0.1,version,
bna,2.3.2.7,version,
e1000,8.0.25-NAPI,version,
mpt2sas,08.100.00.01,version,
ixgb,1.0.135-k2-NAPI,version,
e1000e,1.2.20-NAPI,version,
be2iscsi,2.0.549.0,description,Driver (\d+\.\d+\.\d+\.\d+)
qlge,v1.00.00.28.00.00-01,version,
netxen_nic,4.0.75,version,
cciss,4.6.28-9,version,
mlx4_core,1.0-ofed1.5.2,version,
